generation,best,mean,median
0,120142.3,11452.0,10000.0
1,140125.3,12236.9,10000.0
2,150122.7,13559.2,10000.0
3,143449.7,13091.4,10000.0
4,150109.7,13222.1,10000.0
5,140151.3,13104.5,10000.0
6,163452.0,16323.2,10000.0
7,123500.0,13088.8,10000.0
8,133529.0,14857.9,10000.0
9,140127.3,14840.0,10000.0
10,173565.0,17710.3,10000.0
11,153537.3,16074.1,10000.0
12,273505.3,22983.0,10000.0
13,176794.0,25702.5,16669.0
14,293525.3,21063.8,10000.0
15,190137.0,25725.2,10000.0
16,263519.0,30579.1,13335.7
17,253492.0,29694.0,10000.0
18,240442.7,29142.7,13335.7
19,283966.0,30773.0,13339.8
20,206988.7,38555.9,16688.3
21,300331.0,44250.8,20015.5
22,257048.7,46133.6,13338.8
23,306890.0,50402.6,23358.2
24,250199.7,59559.9,36700.2
25,333594.0,80037.1,70062.5
26,326890.0,83550.6,73425.0
27,333609.7,78447.5,63401.0
28,340293.7,115557.2,103418.0
29,423654.3,132277.6,116738.7
30,440302.0,156512.6,176804.0
31,477026.7,151517.5,155135.5
32,357012.7,163961.8,163496.5
33,430344.3,164621.1,176829.7
34,440388.7,168765.8,180174.2
35,403708.0,211675.3,250198.3
36,467061.0,217779.0,255184.3
37,460406.3,245801.7,268580.3
38,513779.3,263232.5,285218.3
39,493781.0,234372.0,256895.5
40,480447.3,238740.8,258593.8
41,517171.0,229880.6,236912.7
42,477173.0,224785.4,241896.3
43,537135.0,273316.3,285289.8
44,573891.0,257052.0,263577.2
45,557222.3,252243.5,263646.0
46,477022.3,293279.4,298584.0
47,537156.7,295883.2,313629.5
48,557148.0,311100.2,331945.5
49,450371.3,269822.9,296937.2
50,547220.0,319166.4,360355.8
51,493809.0,282391.0,303606.8
52,473768.7,303442.3,330298.0
53,493808.7,275536.3,293618.2
54,543831.7,278871.4,295273.0
55,583854.7,328742.4,356930.0
56,600554.7,351651.0,393700.8
57,620494.7,361065.6,376984.7
58,603847.3,389243.1,412015.2
59,613861.3,332634.4,363645.0
60,543829.7,323508.4,340304.3
61,630529.7,343243.4,363648.0
62,453710.3,299220.0,313590.5
63,613912.0,334109.4,363646.7
64,497130.7,323813.2,345319.7
65,553781.3,343168.6,358726.2
66,540453.7,334008.8,368651.8
67,543803.0,325183.4,336974.0
68,577205.0,314233.8,328660.0
69,527136.7,293954.0,308699.0
70,590513.0,317872.3,320280.0
71,647260.0,372104.2,373643.0
72,547132.3,335929.3,356985.5
73,630581.3,369379.1,390343.7
74,550504.7,316314.1,342003.3
75,607221.0,400457.1,422046.2
76,547116.0,323461.2,325330.0
77,593835.3,386319.1,423741.3
78,633962.0,360514.9,393726.2
79,674013.7,367321.9,387032.5
80,500419.7,302541.4,316953.5
81,567132.3,295942.4,291942.2
82,640583.0,354056.2,378668.7
83,580541.7,343460.7,377010.5
84,560519.7,333267.3,356966.2
85,680589.0,404530.2,423727.8
86,667308.3,370057.9,370376.7
87,630648.3,371960.3,407054.5
88,633843.7,364448.0,401997.5
89,563920.3,347013.2,367034.7
90,580558.3,359685.2,385389.3
91,540467.0,350415.9,366992.3
92,593831.3,379575.5,413661.5
93,520475.0,315349.2,321952.0
94,617206.7,351218.6,368644.5
95,633933.0,385327.3,410380.7
96,643908.7,361704.9,390388.3
97,587222.0,381106.1,400372.2
98,647245.3,347141.8,363668.7
99,643931.3,316827.8,320295.7
100,613875.0,321184.4,338642.3
101,707293.7,414156.1,437032.3
102,610530.7,386606.4,407063.5
103,633891.7,359158.3,371996.3
104,580598.0,350150.3,372027.5
105,630619.0,323116.0,345368.7
106,740644.7,403400.1,440418.5
107,610642.0,385761.2,427064.8
108,587195.3,359873.1,373660.3
109,730657.0,414886.1,440427.7
110,723986.7,483420.3,507078.2
111,667277.0,347624.9,365320.7
112,640535.0,375476.3,383658.8
113,650517.3,380171.7,396967.3
114,610587.7,408394.7,437013.3
115,677290.7,394487.7,407104.5
116,593875.0,368858.3,393710.3
117,580536.7,328646.1,343661.8
118,597229.3,391492.2,410364.0
119,627282.7,367427.3,397088.7
120,733967.0,395406.0,422050.0
121,623897.3,385615.4,390381.0
122,757378.3,367720.9,388681.3
123,613888.0,338938.9,337011.7
124,707276.7,373560.5,397011.7
125,633888.3,361221.0,390322.3
126,563899.3,349631.2,360361.7
127,617226.0,391079.7,425383.7
128,650530.3,367409.8,380335.3
129,697299.0,374884.5,390350.7
130,757360.7,421924.2,443735.8
131,687306.7,430245.7,450450.7
132,587200.3,358330.2,365334.2
133,650627.0,361507.9,380367.0
134,747339.7,402423.0,417038.2
135,657295.7,384463.2,398717.5
136,680581.3,394156.9,403707.7
137,630583.0,381766.3,407036.2
138,763919.0,449759.7,485377.8
139,613946.0,385562.4,398692.2
140,627265.3,394337.1,408669.7
141,600507.0,409537.0,427035.2
142,760703.7,449839.1,477133.8
143,687330.3,403948.5,430377.8
144,660581.0,372055.0,376969.3
145,680590.0,383767.5,397034.5
146,667309.3,426527.1,460397.0
147,667353.3,397542.4,417104.5
148,727359.7,391202.5,417098.8
149,663895.7,419072.8,458729.3
150,583961.3,352386.6,365353.2
151,697346.3,393592.2,412055.7
152,603921.7,391821.2,407026.8
153,747479.0,425360.4,427153.2
154,697237.0,397043.3,418712.2
155,653977.7,387373.5,410418.8
156,697342.7,445706.4,468801.5
157,670720.0,376301.1,382094.0
158,613959.3,387845.9,410394.0
159,910854.7,405565.7,430388.5
160,663901.3,411127.8,438707.2
161,707270.0,413138.6,427012.7
162,704003.0,421175.5,447089.0
163,767416.7,434852.0,460455.3
164,687301.7,403225.2,430390.0
165,747363.7,427630.6,448768.7
166,647339.7,396594.6,428785.2
167,664037.7,352130.7,383730.7
168,624034.0,352386.7,375414.3
169,673959.7,470928.3,510448.2
170,740732.7,463310.5,470408.3
171,674056.7,410614.2,443739.3
172,864219.3,419922.5,443698.8
173,770626.7,478426.8,517049.8
174,733972.3,401155.1,423714.7
175,660617.7,349550.6,363725.3
176,720690.3,408605.3,427075.5
177,640575.7,408135.3,433772.3
178,647427.0,395695.4,402117.8
179,687406.3,412637.7,432042.3
180,683904.3,442817.4,470317.0
181,784057.3,475674.7,497145.7
182,783976.7,386819.2,403751.0
183,784096.7,405904.1,407056.8
184,707314.3,451372.1,473776.0
185,633988.7,399449.0,437058.2
186,694020.0,406236.2,412054.5
187,680600.3,368881.5,410368.2
188,653961.3,391129.5,413758.3
189,674019.7,369958.9,382054.0
190,740693.7,429950.9,453792.3
191,620583.0,407703.7,433740.7
192,747412.0,416815.3,442071.0
193,657322.0,374998.2,403722.0
194,583933.7,364424.2,398705.7
195,667246.7,360164.0,361996.5
196,684173.0,403283.4,420388.3
197,690632.7,414062.0,415410.2
198,694058.0,397325.9,422102.0
199,697261.7,469379.7,480390.5
200,814059.3,434403.4,445442.0
201,740675.7,428884.8,430392.8
202,764047.0,372258.3,385359.0
203,603868.0,409459.4,430388.5
204,644008.7,392837.4,402038.3
205,704084.3,427116.9,440342.2
206,713987.3,384667.5,408730.7
207,717286.7,416002.2,438737.5
208,757299.3,460254.9,500543.3
209,730658.3,421666.4,443748.8
210,840741.3,478504.4,507130.7
211,717335.3,358195.9,383699.0
212,673978.7,363867.8,380369.8
213,630580.7,396918.9,440421.5
214,667315.7,401636.9,423720.7
215,717389.3,439478.4,453736.8
216,740682.3,407890.1,427049.7
217,697288.3,410493.4,427087.7
218,740720.7,420338.1,433709.8
219,684028.3,416655.3,450456.0
220,667410.7,407466.5,420403.8
221,740740.3,419261.7,447069.3
222,790698.7,404258.0,410424.5
223,810745.7,437735.6,473773.8
224,747302.7,430630.5,455432.5
225,753933.7,488971.3,510493.0
226,714000.0,468794.0,507123.2
227,757445.3,407258.3,440437.3
228,734073.0,396676.8,400391.3
229,734033.0,397303.5,428744.0
230,714031.7,389304.8,405394.2
231,760752.7,411707.7,448825.0
232,620594.3,356054.6,363678.3
233,710670.3,447835.7,470449.3
